   "RD",    "Y", "M", "D"
-214193,  -1138,   4,  10
 -61387,   -720,  12,   6
  25469,   -482,  11,  22
  49217,   -417,  12,  15
 171307,    -82,   6,  10
 210155,     24,  11,  18
 253427,    143,   6,   5
 369740,    462,   2,   3
 400085,    545,   3,  23
 434355,    639,   2,  13
 452605,    689,   2,  13
 470160,    737,   3,  18
 473837,    747,   4,  15
 507850,    840,   6,  23
 524156,    885,   2,  24
 544676,    941,   5,  14
 567118,   1002,  11,  11
 569477,   1009,   4,  25
 601716,   1097,   8,  24
 613424,   1129,   9,  22
 626596,   1165,  10,  24
 645554,   1217,  10,   2
 664224,   1268,  11,  27
 671401,   1288,   7,  24
 694799,   1352,   9,   2 
 704424,   1379,   1,  12
 708842,   1391,   2,  20
 709409,   1392,   9,  12
 709580,   1393,   2,  28
 727274,   1441,   8,  22
 728714,   1445,   8,   2
 744313,   1488,   4,  26
 764652,   1544,   1,  15
