   "RD", "Major", "Cycle", "Y", "M", "D"
-214193,      -6,       6,   3,   7,  12
 -61387,      -5,       9,   3,  14,  13
  25469,      -4,       2,  13,  10,  17
  49217,      -4,       6,   2,  11,   6
 171307,      -3,       4,  13,  16,   9
 210155,      -3,      10,   6,   4,   4
 253427,      -3,      16,  10,  13,   7
 369740,      -2,      14,   6,   2,  17
 400085,      -2,      18,  13,   4,   8
 434355,      -1,       4,  12,   1,   3
 452605,      -1,       7,   4,  19,   9
 470160,      -1,       9,  15,   1,  13
 473837,      -1,      10,   6,   2,  19
 507850,      -1,      15,   4,   5,   8
 524156,      -1,      17,  10,  17,  16
 544676,       0,       1,  10,   2,   1
 567118,       0,       4,  14,  10,  12
 569477,       0,       5,   1,  19,   4
 601716,       0,       9,  14,   5,   6
 613424,       0,      11,   8,   6,   7
 626596,       0,      13,   6,   7,  12
 645554,       0,      16,   1,   5,  15
 664224,       0,      18,  14,   8,   2
 671401,       0,      19,  15,   1,   7
 694799,       1,       4,   3,   2,  11
 704424,       1,       5,  10,   9,   6
 708842,       1,       6,   3,  11,   3
 709409,       1,       6,   5,   2,  11
 709580,       1,       6,   5,  11,  11
 727274,       1,       8,  15,  19,  16
 728714,       1,       8,  19,  18,  19
 744313,       1,      11,   5,  13,   7
 764652,       1,      14,   4,   7,   6
