   "RD", "1","2","3","4","5","6","7","8","9","10"
-214193,  0,  1,  1,  1,  3,  1,  1,  5,  7,  3
 -61387,  1,  2,  2,  1,  4,  5,  4,  5,  5,  2
  25469,  1,  2,  2,  1,  5,  5,  4,  1,  5,  6
  49217,  0,  1,  2,  3,  3,  5,  1,  3,  5,  3
 171307,  0,  1,  1,  3,  3,  1,  4,  3,  1,  5
 210155,  1,  2,  2,  1,  1,  5,  2,  1,  8,  0
 253427,  0,  1,  2,  3,  3,  5,  7,  3,  2,  7
 369740,  0,  1,  2,  2,  1,  2,  1,  2,  2,  1
 400085,  0,  1,  2,  1,  1,  5,  1,  1,  8,  1
 434355,  1,  2,  3,  1,  1,  3,  6,  1,  3,  2
 452605,  0,  1,  1,  1,  1,  1,  7,  5,  1,  5
 470160,  1,  2,  3,  4,  1,  6,  6,  8,  6,  2
 473837,  0,  1,  2,  3,  3,  5,  1,  3,  5,  3
 507850,  0,  1,  1,  4,  1,  4,  1,  4,  7,  1
 524156,  0,  1,  2,  2,  2,  2,  4,  2,  5,  7
 544676,  0,  1,  2,  4,  2,  2,  7,  8,  8,  9
 567118,  1,  2,  1,  4,  4,  4,  7,  4,  7,  4
 569477,  0,  1,  2,  3,  3,  5,  7,  3,  2,  7
 601716,  0,  1,  3,  4,  2,  6,  4,  8,  3,  7
 613424,  1,  2,  2,  4,  5,  2,  1,  4,  5,  4
 626596,  1,  2,  1,  2,  2,  4,  6,  2,  1,  6
 645554,  1,  2,  2,  4,  5,  2,  1,  4,  5,  4
 664224,  0,  1,  3,  4,  5,  6,  2,  8,  3,  3
 671401,  0,  1,  1,  1,  2,  1,  4,  5,  4,  7
 694799,  1,  2,  2,  1,  5,  5,  1,  5,  8,  4
 704424,  1,  2,  3,  2,  5,  6,  1,  2,  3,  4
 708842,  1,  2,  2,  2,  3,  2,  2,  2,  1,  2
 709409,  0,  1,  2,  3,  5,  5,  2,  3,  2,  3
 709580,  1,  2,  2,  4,  1,  2,  5,  4,  8,  4
 727274,  1,  2,  2,  2,  5,  2,  3,  2,  8,  2
 728714,  1,  2,  2,  4,  5,  2,  1,  4,  5,  4
 744313,  1,  2,  1,  3,  4,  1,  4,  7,  1,  2
 764652,  0,  1,  3,  4,  3,  6,  1,  8,  6,  3
