   "RD", "Cycle", "Year", "Month", "LeapMonth", "Day"
-214193,  35,  11,   6,  0,  12
 -61387,  42,   9,  10,  0,  27
  25469,  46,   7,   8,  0,   4
  49217,  47,  12,   8,  0,   9
 171307,  52,  46,  11,  0,  20
 210155,  54,  33,   4,  0,   5
 253427,  56,  31,  10,  0,  15
 369740,  61,  50,   3,  0,   7
 400085,  63,  13,   4,  0,  24
 434355,  64,  47,   2,  0,   9
 452605,  65,  37,   2,  0,   9
 470160,  66,  25,   2,  0,  23
 473837,  66,  35,   3,  0,   9
 507850,  68,   8,   5,  0,   2
 524156,  68,  53,   1,  0,   8
 544676,  69,  49,   3,  0,   4
 567118,  70,  50,   8,  0,   2
 569477,  70,  57,   1,  0,  29
 601716,  72,  25,   4,  1,  20
 613424,  72,  57,   6,  0,   5
 626596,  73,  33,   6,  0,   6
 645554,  74,  25,   5,  0,   5
 664224,  75,  16,   6,  0,  12
 671401,  75,  36,   2,  0,  13
 694799,  76,  40,   3,  0,  22
 704424,  77,   6,   7,  0,  21
 708842,  77,  18,   8,  0,   9
 709409,  77,  20,   3,  0,  15
 709580,  77,  20,   9,  0,   9
 727274,  78,   9,   2,  0,  14
 728714,  78,  13,   1,  0,   7
 744313,  78,  55,  10,  0,  14
 764652,  79,  51,   6,  0,   7
