   "RD",   "Y", "M",  "D"
-214193,   161,   7,  15
 -61387,   580,   3,   6
  25469,   818,   2,  22
  49217,   883,   3,  15
 171307,  1217,   9,  15
 210155,  1324,   2,  18
 253427,  1442,   9,  10
 369740,  1761,   5,   8
 400085,  1844,   6,  28
 434355,  1938,   5,  18
 452605,  1988,   5,  18
 470160,  2036,   6,  23
 473837,  2046,   7,  20
 507850,  2139,   9,  28
 524156,  2184,   5,  29
 544676,  2240,   8,  19
 567118,  2302,   2,  11
 569477,  2308,   7,  30
 601716,  2396,  11,  29
 613424,  2428,  12,  27
 626596,  2465,   1,  24
 645554,  2517,   1,   2
 664224,  2568,   2,  27
 671401,  2587,  10,  29
 694799,  2651,  12,   7
 704424,  2678,   4,  17
 708842,  2690,   5,  25
 709409,  2691,  12,  17
 709580,  2692,   6,   3
 727274,  2740,  11,  27
 728714,  2744,  11,   7
 744313,  2787,   8,   1
 764652,  2843,   4,  20
