   "RD",    "Y", "M", "D"
-214193,  -2378,  11,   4
 -61387,  -1959,   3,  13
  25469,  -1721,   1,   2
  49217,  -1656,   1,  10
 171307,  -1322,   4,  18
 210155,  -1216,   9,   1
 253427,  -1097,   2,  19
 369740,   -779,   8,   4
 400085,   -696,   9,   5
 434355,   -602,   7,   1
 452605,   -552,   6,  20
 470160,   -504,   7,  13
 473837,   -494,   8,   8
 507850,   -401,   9,  23
 524156,   -356,   5,  13
 544676,   -300,   7,  19
 567118,   -239,  13,   1
 569477,   -232,   6,  14
 601716,   -144,   9,  22
 613424,   -112,  10,  12
 626596,    -76,  11,   6
 645554,    -24,  10,   1
 664224,     27,  11,  14
 671401,     47,   7,   6
 694799,    111,   7,  29
 704424,    137,  12,   7
 708842,    150,   1,   7
 709409,    151,   7,  29
 709580,    152,   1,  15
 727274,    200,   6,  27
 728714,    204,   6,   7
 744313,    247,   2,  20
 764652,    302,  11,   1
