   "RD",   "Y", "M", "D"
-214193,  3174,   5,  10
 -61387,  3593,   9,  25
  25469,  3831,   7,   3
  49217,  3896,   7,   9
 171307,  4230,  10,  18
 210155,  4336,   3,   4
 253427,  4455,   8,  13
 369740,  4773,   2,   6
 400085,  4856,   2,  23
 434355,  4950,   1,   7
 452605,  5000,  13,   8
 470160,  5048,   1,  21
 473837,  5058,   2,  27
 507850,  5151,   4,   1
 524156,  5196,  11,   7
 544676,  5252,   1,   3
 567118,  5314,   7,   1
 569477,  5320,  12,  27
 601716,  5408,   3,  20
 613424,  5440,   4,   3
 626596,  5476,   5,   5
 645554,  5528,   4,   4
 664224,  5579,   5,  11
 671401,  5599,   1,  12
 694799,  5663,   1,  22
 704424,  5689,   5,  19
 708842,  5702,   7,   8
 709409,  5703,   1,  14
 709580,  5704,   7,   8
 727274,  5752,  13,  12
 728714,  5756,  12,   5
 744313,  5799,   8,  12
 764652,  5854,   5,   5
