   "RD",   "Y", "M", "T/F", "D"
-214193,  2515,   6,  0,  11
 -61387,  2933,   9,  0,  26
  25469,  3171,   8,  0,   3
  49217,  3236,   8,  0,   9
 171307,  3570,  11,  1,  19
 210155,  3677,   3,  0,   5
 253427,  3795,   9,  0,  15
 369740,  4114,   2,  0,   7
 400085,  4197,   2,  0,  24
 434355,  4291,   1,  0,   9
 452605,  4340,  12,  0,   9
 470160,  4389,   1,  0,  23
 473837,  4399,   2,  0,   8
 507850,  4492,   4,  0,   2
 524156,  4536,  11,  0,   7
 544676,  4593,   1,  0,   3
 567118,  4654,   7,  0,   2
 569477,  4660,  11,  0,  29
 601716,  4749,   3,  0,  20
 613424,  4781,   4,  0,   4
 626596,  4817,   5,  0,   6
 645554,  4869,   4,  0,   5
 664224,  4920,   5,  0,  12
 671401,  4940,   1,  1,  13
 694799,  5004,   1,  0,  23
 704424,  5030,   5,  0,  21
 708842,  5042,   7,  0,   9
 709409,  5044,   1,  0,  15
 709580,  5044,   7,  0,   9
 727274,  5092,  12,  0,  14
 728714,  5096,  12,  0,   7
 744313,  5139,   8,  0,  14
 764652,  5195,   4,  0,   6
