   "RD",    "Y", "M", "D"
-214193,  -1245,  12,   9
 -61387,   -813,   2,  23
  25469,   -568,   4,   1
  49217,   -501,   4,   6
 171307,   -157,  10,  17
 210155,    -47,   6,   3
 253427,     75,   7,  13
 369740,    403,  10,   5
 400085,    489,   5,  22
 434355,    586,   2,   7
 452605,    637,   8,   7
 470160,    687,   2,  20
 473837,    697,   7,   7
 507850,    793,   7,   1
 524156,    839,   7,   6
 544676,    897,   6,   1
 567118,    960,   9,  30
 569477,    967,   5,  27
 601716,   1058,   5,  18
 613424,   1091,   6,   2
 626596,   1128,   8,   4
 645554,   1182,   2,   3
 664224,   1234,  10,  10
 671401,   1255,   1,  11
 694799,   1321,   1,  21
 704424,   1348,   3,  19
 708842,   1360,   9,   8
 709409,   1362,   4,  13
 709580,   1362,  10,   7
 727274,   1412,   9,  13
 728714,   1416,  10,   5
 744313,   1460,  10,  12
 764652,   1518,   3,   5
