   "RD",    "Y", "M", "D"
-214193,  -1245,  12,  12
 -61387,   -813,   2,  26
  25469,   -568,   4,   3
  49217,   -501,   4,   8
 171307,   -157,  10,  19
 210155,    -47,   6,   4
 253427,     75,   7,  14
 369740,    403,  10,   6
 400085,    489,   5,  23
 434355,    586,   2,   8
 452605,    637,   8,   8
 470160,    687,   2,  22
 473837,    697,   7,   8
 507850,    793,   7,   1
 524156,    839,   7,   7
 544676,    897,   6,   3
 567118,    960,  10,   1
 569477,    967,   5,  28
 601716,   1058,   5,  19
 613424,   1091,   6,   4
 626596,   1128,   8,   5
 645554,   1182,   2,   5
 664224,   1234,  10,  11
 671401,   1255,   1,  12
 694799,   1321,   1,  21
 704424,   1348,   3,  20
 708842,   1360,   9,   8
 709409,   1362,   4,  15
 709580,   1362,  10,   8
 727274,   1412,   9,  13
 728714,   1416,  10,   6
 744313,   1460,  10,  13
 764652,   1518,   3,   6
