   "RD", "JED"
-214193, 1507231.5
 -61387, 1660037.5
  25469, 1746893.5
  49217, 1770641.5
 171307, 1892731.5
 210155, 1931579.5
 253427, 1974851.5
 369740, 2091164.5
 400085, 2121509.5
 434355, 2155779.5
 452605, 2174029.5
 470160, 2191584.5
 473837, 2195261.5
 507850, 2229274.5
 524156, 2245580.5
 544676, 2266100.5
 567118, 2288542.5
 569477, 2290901.5
 601716, 2323140.5
 613424, 2334848.5
 626596, 2348020.5
 645554, 2366978.5
 664224, 2385648.5
 671401, 2392825.5
 694799, 2416223.5
 704424, 2425848.5
 708842, 2430266.5
 709409, 2430833.5
 709580, 2431004.5
 727274, 2448698.5
 728714, 2450138.5
 744313, 2465737.5
 764652, 2486076.5
