   "RD",   "Y", "M", "D"
-214193,  -587,   7,  30
 -61387,  -169,  12,   8
  25469,    70,   9,  26
  49217,   135,  10,   3
 171307,   470,   1,   7
 210155,   576,   5,  18
 253427,   694,  11,   7
 369740,  1013,   4,  19
 400085,  1096,   5,  18
 434355,  1190,   3,  16
 452605,  1240,   3,   3
 470160,  1288,   3,  26
 473837,  1298,   4,  20
 507850,  1391,   6,   4
 524156,  1436,   1,  25
 544676,  1492,   3,  31
 567118,  1553,   9,   9
 569477,  1560,   2,  24
 601716,  1648,   5,  31
 613424,  1680,   6,  20
 626596,  1716,   7,  13
 645554,  1768,   6,   8
 664224,  1819,   7,  21
 671401,  1839,   3,  15
 694799,  1903,   4,   6
 704424,  1929,   8,  12
 708842,  1941,   9,  16
 709409,  1943,   4,   6
 709580,  1943,   9,  24
 727274,  1992,   3,   4
 728714,  1996,   2,  12
 744313,  2038,  10,  28
 764652,  2094,   7,   5
