   "RD", "M", "D"
-214193,  11,  12
 -61387,   5,   3
  25469,   4,   9
  49217,   5,  12
 171307,  14,  12
 210155,   4,   5
 253427,  14,   7
 369740,   8,   5
 400085,  10,  15
 434355,   8,  15
 452605,   8,  15
 470160,  10,  10
 473837,  11,  17
 507850,  15,   5
 524156,   9,   6
 544676,  13,   6
 567118,   3,  18
 569477,  12,   7
 601716,  18,   6
 613424,   1,   9
 626596,   3,   1
 645554,   1,  19
 664224,   4,  14
 671401,  16,  16
 694799,  18,  14
 704424,   7,   4
 708842,   9,   2
 709409,  19,   4
 709580,   9,  10
 727274,  18,   4
 728714,  17,   4
 744313,  12,   8
 764652,   7,   7
