   "RD","Baktun","Katun",'"Tun","Uinal","Kin"
-214193,   6,   8,   3,  13,   9
 -61387,   7,   9,   8,   3,  15
  25469,   8,   1,   9,   8,  11
  49217,   8,   4,  15,   7,  19
 171307,   9,   1,  14,  10,   9
 210155,   9,   7,   2,   8,  17
 253427,   9,  13,   2,  12,   9
 369740,  10,   9,   5,  14,   2
 400085,  10,  13,  10,   1,   7
 434355,  10,  18,   5,   4,  17
 452605,  11,   0,  15,  17,   7
 470160,  11,   3,   4,  13,   2
 473837,  11,   3,  14,  16,  19
 507850,  11,   8,   9,   7,  12
 524156,  11,  10,  14,  12,  18
 544676,  11,  13,  11,  12,  18
 567118,  11,  16,  14,   1,   0
 569477,  11,  17,   0,  10,  19
 601716,  12,   1,  10,   2,  18
 613424,  12,   3,   2,  12,   6
 626596,  12,   4,  19,   4,  18
 645554,  12,   7,  11,  16,  16
 664224,  12,  10,   3,  14,   6
 671401,  12,  11,   8,  13,   1
 694799,  12,  14,   8,  13,   1
 704424,  12,  15,  15,   8,   6
 708842,  12,  16,   7,  13,   4
 709409,  12,  16,   9,   5,  11
 709580,  12,  16,   9,  14,   2
 727274,  12,  18,  18,  16,  16
 728714,  12,  19,   2,  16,  16
 744313,  13,   1,   6,   4,  15
 764652,  13,   4,   2,  13,  14
