   "RD", "Count", "Name"
-214193,   5,   9
 -61387,   9,  15
  25469,  12,  11
  49217,   9,  19
 171307,   3,   9
 210155,   7,  17
 253427,   2,   9
 369740,   4,   2
 400085,   7,   7
 434355,   9,  17
 452605,   7,   7
 470160,  12,   2
 473837,  10,  19
 507850,   2,  12
 524156,   6,  18
 544676,  12,  18
 567118,   3,  20
 569477,   9,  19
 601716,   8,  18
 613424,   3,   6
 626596,   6,  18
 645554,  10,  16
 664224,  12,   6
 671401,  13,   3
 694799,  11,   1
 704424,   3,   6
 708842,   1,   4
 709409,   9,  11
 709580,  11,   2
 727274,  12,  16
 728714,   9,  16
 744313,   8,  15
 764652,   2,  14
