   "RD",    "MJD"
-214193,  -892769
 -61387,  -739963
  25469,  -653107
  49217,  -629359
 171307,  -507269
 210155,  -468421
 253427,  -425149
 369740,  -308836
 400085,  -278491
 434355,  -244221
 452605,  -225971
 470160,  -208416
 473837,  -204739
 507850,  -170726
 524156,  -154420
 544676,  -133900
 567118,  -111458
 569477,  -109099
 601716,   -76860
 613424,   -65152
 626596,   -51980
 645554,   -33022
 664224,   -14352
 671401,    -7175
 694799,    16223
 704424,    25848
 708842,    30266
 709409,    30833
 709580,    31044
 727274,    48698
 728714,    50138
 744313,    65737
 764652,    86076
