   "RD",   "Y", "M", "F", "D", "L"
-214193,  -587,   8,   1,   3,   0
 -61387,  -169,  12,   3,   6,   0
  25469,    70,  10,   1,   6,   0
  49217,   135,  10,   2,   5,   0
 171307,   470,   1,   3,   7,   0
 210155,   576,   6,   1,  15,   0
 253427,   694,  11,   3,   7,   0
 369740,  1013,   5,   1,  13,   0
 400085,  1096,   6,   1,  15,   0
 434355,  1190,   4,   1,  17,   0
 452605,  1240,   3,   2,   5,   0
 470160,  1288,   4,   1,   7,   0
 473837,  1298,   5,   1,  12,   0
 507850,  1391,   6,   2,   2,   0
 524156,  1436,   2,   1,   8,   0
 544676,  1492,   4,   1,   2,   0
 567118,  1553,   9,   3,   5,   0
 569477,  1560,   3,   1,   6,   0
 601716,  1648,   6,   1,   2,   0
 613424,  1680,   7,   1,  12,   0
 626596,  1716,   7,   3,   3,   0
 645554,  1768,   6,   3,   6,   0
 664224,  1819,   8,   1,  12,   0
 671401,  1839,   3,   3,   1,   0
 694799,  1903,   4,   3,   8,   0
 704424,  1929,   8,   3,   2,   0
 708842,  1941,  10,   1,  16,   0
 709409,  1943,   4,   3,   8,   0
 709580,  1943,  10,   1,   8,   0
 727274,  1992,   3,   2,   4,   0
 728714,  1996,   2,   3,   2,   0
 744313,  2038,  11,   1,   5,   0
 764652,  2094,   7,   2,   3,   0
