"A",  11.7,  3.4,  7.6,  3.9,  10.1,  5.7,  4.8,  9.1,  4.4  
"B",   3.5,  5.5,  9.6,  6.0,   7.5,  1.8,  3.5,  4.6,  1.6  
"C",   2.4,  5.5,  8.0,  7.4,   3.8,  1.8,  2.3,  3.5,  1.7  
"E",   3.8,  3.5,  6.3,  7.6,   6.3,  1.8,  2.9,  4.6,  1.9  
"F",   6.0,  4.3,  5.6,  5.9,   7.7,  1.7,  2.3,  3.5,  1.6  
"H",   5.8,  2.2,  5.6,  4.6,   9.3,  1.8,  3.8,  6.1,  3.5  
"I",  10.1,  6.1,  9.3,  5.3,   8.4,  2.6,  2.9,  5.8,  3.3  
"L",   9.8,  4.5,  7.9,  9.1,   3.7,  2.1,  2.9,  6.2,  2.4  
"D",   5.1,  8.4,  7.9,  5.2,   6.2,  6.1,  5.6,  9.2,  2.9  
"G",   4.9,  8.0,  7.6,  5.4,   6.8,  9.1,  6.5,  9.2,  3.1  
"J",   3.3,  8.1,  8.1,  7.6,   3.5,  5.6,  3.9,  8.7,  1.1  
"K",   6.7,  8.8,  7.5,  5.3,   7.1,  9.4,  7.0,  9.5,  2.6  
