# Random_Number_Generator initial seed =   192837465
# Number of LHS sample points =   25
# point#   var1    var2
#
   1     0.8363  0.7430
   2     0.5477  0.5757
   3     0.2126  0.3164
   4     0.0362  0.4779
   5     0.2840  0.1332
   6     0.1808  0.4933
   7     0.1319  0.5550
   8     0.7419  0.2626
   9     0.4384  0.1950
  10     0.9505  0.0340
  11     0.2656  0.8390
  12     0.6206  0.2391
  13     0.5648  0.3689
  14     0.8789  0.6517
  15     0.9651  0.6099
  16     0.6560  0.4169
  17     0.3745  0.9631
  18     0.3386  0.8775
  19     0.1008  0.7143
  20     0.4649  0.0469
  21     0.9026  0.9266
  22     0.7895  0.3313
  23     0.5044  0.9160
  24     0.7106  0.7928
  25     0.0654  0.0937
