"Title","Year","Gross"
"Along Came Polly", 2004, 88097164
"Black and White", 1999, 5241315
"Danny Roane: First Time Director", 2005, 
"Dodgeball: A True Underdog Story", 2004, 114324072
"Duplex", 2003, 19322135
"Elvis Stories", 1989,
"Empire of the Sun", 1987, 22238696
"Envy", 2004, 12181484
"Flirting with Disaster", 1996, 14891000
"Fresh Horses", 1988, 6640346
"Greenberg", 2010, 4216789
"Happy Gilmore", 1996, 38624000
"Heavyweights", 1995, 17689177
"Highway to Hell", 1991, 
"Hot Pursuit", 1987, 4215859
"I'm Still Here", 2000, 408719
"If Lucy Fell", 1996, 4635344
"In Search of Ted Demme", 2006,
"Keeping the Faith", 2000, 37036404
"Little Fockers", 2010, 148383780
"Madagascar 3", 2012, 
"Madagascar", 2006, 238000000
"Madagascar: Escape 2 Africa", 2008, 179982968
"Meet the Fockers", 2004, 516642939
"Meet the Parents", 2000, 330444045
"Megamind", 2010, 163887757
"Mystery Men", 1999, 29655590
"Neighborhood Watch", 2012,
"Next of Kin", 1989, 15942628
"Night at the Museum", 2006, 574480841
"Night at the Museum: Battle of the Smithsonian", 2009, 177233619
"Permanent Midnight", 1998, 1166199
"Reality Bites", 1994, 20982557
"Run Ronnie Run", 2002,
"School for Scoundrels", 2006, 17803796
"Shoeshine", 1987, 
"Sledge: The Untold Story", 2005,
"Starsky & Hutch", 2004, 88200225
"Stella", 1990, 20240128
"That's Adequate", 1989,
"The Cable Guy", 1996, 100700000
"The Heartbreak Kid", 2007, 36771343
"The Independent", 2000, 238431
"The Marc Pease Experience", 2009,
"The Royal Tenenbaums", 2001, 71441250
"The Suburbans", 1999, 5797
"There's Something About Mary", 1998, 176483808
"Tower Heist", 2011, 43465615
"Tropic Thunder", 2008, 110416702
"Your Friends & Neighbors", 1998, 4710749
"Zero Effect", 1998, 1980338
"Zoolander", 2001, 60780981
"Zoolander 2", 2012,
