"age", "p3", "p5", "p10", "p25", "p50", "p75", "p90", "p95", "p97"
 0, 17.75, 18.00, 18.25, 18.75, 19.50, 20.00, 20.75, 21.25, 21.50
 3, 21.50, 21.75, 22.25, 22.75, 23.25, 24.00, 24.50, 25.00, 25.25
 6, 23.75, 24.00, 24.50, 25.00, 25.75, 26.50, 27.00, 27.25, 27.50
 9, 25.50, 25.75, 26.25, 26.75, 27.50, 28.25, 28.75, 29.25, 29.50
12, 27.00, 27.25, 27.50, 28.25, 29.00, 29.75, 30.50, 31.00, 31.25
15, 28.25, 28.50, 29.00, 29.50, 30.50, 31.25, 32.00, 32.25, 32.50
18, 29.25, 29.50, 30.00, 30.75, 31.75, 32.50, 33.25, 33.75, 34.00
21, 30.25, 30.50, 31.00, 32.00, 32.75, 33.75, 34.50, 35.00, 35.25
24, 31.25, 31.50, 32.00, 33.00, 33.75, 34.75, 35.50, 36.00, 36.50
27, 32.25, 32.50, 33.00, 34.00, 35.00, 35.75, 36.75, 37.25, 37.50
30, 33.00, 33.50, 34.00, 34.75, 35.75, 36.75, 37.75, 38.25, 38.50
33, 33.75, 34.25, 34.75, 35.50, 36.75, 37.75, 38.50, 39.25, 39.50
36, 34.50, 34.75, 35.25, 36.25, 37.25, 38.50, 39.50, 40.00, 40.25
