"age", "p3", "p5", "p10", "p25", "p50", "p75", "p90", "p95", "p97"
 0, 17.5, 18.0, 18.5, 19.0, 19.5, 20.0, 20.5, 21.0, 21.5
 1, 27.0, 27.5, 27.5, 28.5, 29.0, 29.5, 30.5, 31.0, 31.5
 2, 31.0, 31.5, 32.0, 33.0, 34.0, 35.0, 35.5, 36.0, 36.5
 3, 34.5, 35.0, 35.5, 36.5, 37.5, 38.5, 39.5, 40.0, 40.5
 4, 36.5, 37.0, 37.5, 38.5, 40.0, 41.0, 42.0, 42.5, 43.0
 5, 39.0, 39.5, 40.0, 41.0, 42.5, 44.0, 45.0, 45.5, 46.0
 6, 41.5, 42.0, 42.5, 44.0, 45.5, 46.5, 48.0, 48.5, 49.0
 7, 44.0, 44.5, 45.5, 46.5, 48.0, 49.5, 50.5, 51.5, 52.0
 8, 46.0, 46.5, 47.5, 48.5, 50.5, 52.0, 53.5, 54.5, 55.0
 9, 48.0, 48.5, 49.5, 50.5, 52.5, 54.0, 55.5, 56.5, 57.0
10, 49.5, 50.0, 51.0, 52.5, 54.5, 56.0, 58.0, 59.0, 59.5
11, 51.5, 52.0, 53.0, 55.0, 56.5, 58.5, 60.5, 61.5, 62.0
12, 54.0, 54.5, 56.0, 57.5, 59.5, 61.5, 63.0, 64.5, 65.0
13, 56.5, 57.5, 58.5, 60.0, 62.0, 63.5, 65.5, 66.5, 67.0
14, 58.5, 59.0, 60.0, 61.5, 63.0, 65.0, 66.5, 67.5, 68.0
15, 59.0, 59.5, 60.5, 62.0, 63.5, 65.5, 67.0, 68.0, 68.5
16, 59.0, 60.0, 61.0, 62.5, 64.0, 65.5, 67.0, 68.0, 69.0
17, 59.5, 60.0, 61.0, 62.5, 64.0, 66.0, 67.5, 68.5, 69.0
18, 59.5, 60.0, 61.0, 62.5, 64.0, 66.0, 67.5, 68.5, 69.0
19, 59.5, 60.0, 61.0, 62.5, 64.5, 66.0, 67.5, 68.5, 69.0
20, 59.5, 60.0, 61.0, 62.5, 64.5, 66.0, 67.5, 68.5, 69.0
