"age", "p3", "p5", "p10", "p25", "p50", "p75", "p90", "p95", "p97"
 0, 17.75, 18.00, 18.50, 19.00, 19.75, 20.75, 21.00, 21.25, 21.50
 3, 22.25, 22.50, 22.75, 23.25, 24.00, 24.75, 25.25, 25.75, 26.00
 6, 24.50, 24.75, 25.25, 25.75, 26.50, 27.25, 27.75, 28.25, 28.50
 9, 26.25, 26.50, 27.00, 27.50, 28.25, 29.00, 29.75, 30.25, 30.50
12, 27.75, 28.00, 28.50, 29.00, 29.75, 30.50, 31.25, 31.75, 32.00
15, 29.00, 29.25, 29.50, 30.25, 31.00, 32.00, 32.75, 33.25, 33.50
18, 30.00, 30.25, 30.75, 31.50, 32.25, 33.25, 34.00, 34.50, 34.75
21, 31.00, 31.25, 31.75, 32.50, 33.50, 34.25, 35.25, 35.75, 36.00
24, 31.75, 32.25, 32.75, 33.50, 34.50, 35.25, 36.25, 36.75, 37.00
27, 32.75, 33.00, 33.50, 34.50, 35.50, 36.25, 37.25, 37.75, 38.00
30, 33.50, 33.75, 34.50, 35.25, 36.25, 37.25, 38.25, 38.75, 39.00
33, 34.25, 34.50, 35.25, 36.00, 37.00, 38.00, 39.00, 39.50, 40.00
36, 35.00, 35.50, 36.00, 36.75, 37.75, 38.75, 39.75, 40.50, 40.75

