"Rank","Title","Release","Distributor","Genre","MPAA","Gross","Tickets","AdjGross"
  1,"Transformers: Revenge of the Fallen","6/24/2009","Paramount Pictures","Action","PG-13",  402111870,  53614916,  423021687
  2,"Avatar","12/18/2009","20th Century Fox","Action","PG-13",  352114898,  46948653,  370424872
  3,"Harry Potter and the Half-Blood Prince","7/15/2009","Warner Bros.","Adventure","PG",  301959197,  40261226,  317661073
  4,"Up","5/29/2009","Walt Disney Pictures","Adventure","PG",  293004164,  39067222,  308240382
  5,"The Twilight Saga: New Moon","11/20/2009","Summit Entertainment","Drama","PG-13",  287954655,  38393954,  302928297
  6,"The Hangover","6/5/2009","Warner Bros.","Comedy","R",  277322503,  36976334,  291743275
  7,"Star Trek","5/8/2009","Paramount Pictures","Adventure","PG-13",  257730019,  34364003,  271131984
  8,"The Blind Side","11/20/2009","Warner Bros.","Drama","PG-13",  208476067,  27796809,  219316823
  9,"Monsters vs. Aliens","3/27/2009","Paramount Pictures","Adventure","PG",  198351526,  26446870,  208665804
 10,"Ice Age: Dawn of the Dinosaurs","7/1/2009","20th Century Fox","Adventure","PG",  196573705,  26209827,  206795535
 11,"X-Men Origins: Wolverine","5/1/2009","20th Century Fox","Action","PG-13",  179883157,  23984421,  189237082
 12,"Night at the Museum: Battle of the Smithsonian","5/22/2009","20th Century Fox","Comedy","PG",  177243721,  23632496,  186460393
 13,"The Proposal","6/19/2009","Walt Disney Pictures","Romantic Comedy","PG-13",  163958031,  21861071,  172483850
 14,"2012","11/13/2009","Sony Pictures","Action","PG-13",  163442129,  21792284,  171941121
 15,"Alvin and the Chipmunks: The Squeakquel","12/23/2009","20th Century Fox","Comedy","PG",  155916935,  20788925,  164024618
 16,"Fast & Furious","4/3/2009","Universal","Action","PG-13",  155064265,  20675235,  163127604
 17,"G.I. Joe: The Rise of Cobra","8/7/2009","Paramount Pictures","Action","PG-13",  150201498,  20026866,  158011973
 18,"Paul Blart: Mall Cop","1/16/2009","Sony Pictures","Comedy","PG",  146336178,  19511490,  153945656
 19,"Taken","1/30/2009","20th Century Fox","Thriller/Suspense","PG-13",  145000989,  19333465,  152541039
 20,"Sherlock Holmes","12/25/2009","Warner Bros.","Adventure","PG-13",  138715437,  18495392,  145928643
 21,"Gran Torino","12/12/2008","Warner Bros.","Drama","R",  138274748,  18436633,  145465034
 22,"Disney's A Christmas Carol","11/6/2009","Walt Disney Pictures","Drama","PG",  137443917,  18325856,  144591004
 23,"Angels & Demons","5/15/2009","Sony Pictures","Thriller/Suspense","PG-13",  133375846,  17783446,  140311389
 24,"Terminator Salvation: The Future Begins","5/21/2009","Warner Bros.","Action","PG-13",  125322469,  16709663,  131839241
 25,"Cloudy with a Chance of Meatballs","9/18/2009","Sony Pictures","Comedy","PG",  124264907,  16568654,  130726680
 26,"Inglourious Basterds","8/21/2009","Weinstein Co.","Action","R",  120774594,  16103279,  127054871
 27,"G-Force","7/24/2009","Walt Disney Pictures","Adventure","PG",  119436770,  15924903,  125647485
 28,"District 9","8/14/2009","Sony Pictures","Thriller/Suspense","R",  115646235,  15419498,  121659839
 29,"Slumdog Millionaire","11/12/2008","Fox Searchlight","Drama","R",  112654105,  15020547,  118512116
 30,"Couples Retreat","10/9/2009","Universal","Comedy","PG-13",  108511760,  14468235,  114154374
 31,"Paranormal Activity","9/25/2009","Paramount Pictures","Horror","R",  107854596,  14380613,  113463037
 32,"Watchmen","3/6/2009","Warner Bros.","Action","R",  107509799,  14334640,  113100310
 33,"Public Enemies","7/1/2009","Universal","Drama","R",  97104620,  12947283,  102154063
 34,"Julie & Julia","8/7/2009","Sony Pictures","Comedy","PG-13",  94125426,  12550057,  99019950
 35,"He's Just Not That Into You","2/6/2009","Warner Bros.","Romantic Comedy","PG-13",  93953653,  12527154,  98839245
 36,"Madea Goes To Jail","2/20/2009","Lionsgate","Comedy","PG-13",  90508336,  12067778,  95214768
 37,"The Ugly Truth","7/24/2009","Sony Pictures","Romantic Comedy","R",  88915214,  11855362,  93538806
 38,"The Princess and the Frog","11/25/2009","Walt Disney Pictures","Adventure","G",  85859339,  11447912,  90324026
 39,"Knowing","3/20/2009","Summit Entertainment","Thriller/Suspense","PG-13",  79957634,  10661018,  84115432
 40,"Hannah Montana the Movie","4/10/2009","Walt Disney Pictures","Drama","G",  79576189,  10610159,  83714155
 41,"Where the Wild Things Are","10/16/2009","Warner Bros.","Adventure","PG",  76566491,  10208865,  80547945
