"age", "p3", "p5", "p10", "p25", "p50", "p75", "p90", "p95", "p97"
 0,  5.5,  5.7,  6.2,  6.8,  7.7,  8.3,  8.9,  9.4,  9.6
 3,  9.4,  9.8, 10.4, 11.2, 12.2, 13.3, 14.2, 14.8, 15.0
 6, 12.7, 13.0, 13.6, 14.7, 15.9, 17.1, 18.3, 19.0, 19.6
 9, 15.2, 15.6, 16.3, 17.4, 18.8, 20.2, 21.7, 22.4, 23.0
12, 17.2, 17.6, 18.3, 19.6, 21.0, 22.6, 24.0, 25.0, 25.8
15, 18.8, 19.2, 20.0, 21.2, 22.7, 24.5, 26.1, 27.2, 28.0
18, 20.1, 20.5, 21.4, 22.6, 24.2, 26.0, 27.9, 29.0, 29.9
21, 21.1, 21.6, 22.4, 23.8, 25.6, 27.4, 29.4, 30.6, 31.5
24, 22.0, 22.5, 23.3, 24.7, 26.6, 28.7, 30.8, 32.1, 33.0
27, 22.8, 23.3, 24.2, 25.7, 27.7, 29.8, 32.0, 33.7, 34.6
30, 23.6, 24.1, 25.0, 26.6, 28.6, 30.9, 33.4, 35.0, 36.1
33, 24.3, 24.9, 25.8, 27.5, 29.6, 32.1, 34.7, 36.4, 37.8
36, 25.0, 25.5, 26.5, 28.2, 30.5, 33.2, 36.0, 38.0, 39.4
