"age", "p3", "p5", "p10", "p25", "p50", "p75", "p90", "p95", "p97"
 0,   6,   6,   6,   7,   7,   8,   9,   9,  10
 1,  17,  18,  18,  20,  21,  23,  24,  25,  26
 2,  22,  23,  23,  25,  27,  29,  32,  32,  33
 3,  25,  26,  27,  28,  31,  33,  36,  38,  39
 4,  28,  29,  30,  32,  35,  38,  42,  45,  47
 5,  32,  33,  34,  36,  40,  44,  48,  52,  55
 6,  35,  36,  38,  41,  45,  50,  56,  60,  64
 7,  39,  40,  42,  46,  50,  56,  64,  69,  74
 8,  43,  44,  46,  51,  57,  64,  73,  80,  85
 9,  47,  49,  52,  57,  64,  73,  84,  92,  98
10,  53,  55,  58,  64,  73,  84,  96, 106, 113
11,  59,  61,  65,  72,  82,  94, 110, 121, 129
12,  66,  69,  72,  81,  92, 106, 123, 136, 145
13,  74,  76,  81,  89, 101, 116, 135, 149, 159
14,  81,  83,  88,  96, 109, 125, 144, 160, 171
15,  87,  90,  94, 102, 115, 131, 151, 167, 180
16,  92,  95,  99, 107, 119, 135, 155, 172, 186
17,  95,  98, 102, 110, 122, 137, 158, 176, 190
18,  97, 100, 104, 112, 124, 140, 160, 178, 193
19,  98, 101, 106, 114, 126, 143, 164, 181, 195
20,  99, 102, 107, 116, 128, 145, 166, 183, 196
