"age", "p3", "p5", "p10", "p25", "p50", "p75", "p90", "p95", "p97"
 0,  5.3,  5.7,  6.3,  7.0,  7.9,  8.7,  9.4,  9.6,  9.7 
 3, 10.4, 10.6, 11.3, 12.1, 13.2, 14.4, 15.5, 16.1, 16.6
 6, 14.0, 14.3, 15.0, 16.1, 17.5, 18.8, 20.2, 21.0, 21.8 
 9, 16.5, 17.0, 17.8, 19.0, 20.4, 22.0, 23.8, 24.6, 25.4
12, 18.5, 19.0, 19.8, 21.1, 22.8, 24.5, 26.3, 27.4, 28.1
15, 20.0, 20.4, 21.2, 22.7, 24.5, 26.3, 28.2, 29.3, 30.1
18, 21.1, 21.7, 22.5, 24.0, 25.9, 27.8, 29.7, 31.0, 31.8
21, 22.0, 22.6, 23.5, 25.0, 26.9, 29.0, 31.0, 32.3, 33.1
24, 22.9, 23.4, 24.3, 26.0, 27.9, 30.0, 32.1, 33.5, 34.3
27, 23.7, 24.2, 25.1, 26.9, 28.8, 31.0, 33.3, 34.7, 35.6
30, 24.3, 25.0, 25.9, 27.7, 29.8, 32.0, 34.3, 35.8, 36.8
33, 25.1, 25.8, 26.7, 28.5, 30.7, 33.0, 35.6, 37.0, 38.1
36, 25.9, 26.4, 27.5, 29.3, 31.6, 34.1, 36.7, 38.3, 39.5
