"age", "p3", "p5", "p10", "p25", "p50", "p75", "p90", "p95", "p97"
 0,   5,   6,   6,   7,   8,   9,   9,  10,  10 
 1,  19,  19,  20,  21,  23,  25,  26,  27,  28
 2,  23,  23,  24,  26,  28,  30,  32,  34,  34
 3,  26,  27,  28,  29,  32,  34,  37,  38,  40
 4,  29,  30,  31,  33,  36,  39,  42,  44,  46
 5,  32,  33,  35,  37,  41,  44,  48,  52,  54
 6,  36,  37,  39,  42,  46,  50,  56,  59,  62
 7,  40,  41,  43,  46,  51,  58,  63,  68,  71
 8,  44,  45,  48,  51,  56,  63,  72,  77,  82
 9,  48,  50,  52,  56,  63,  71,  81,  88,  94
10,  53,  55,  58,  63,  71,  80,  92, 101, 108
11,  58,  60,  64,  70,  79,  91, 104, 115, 124
12,  65,  67,  71,  78,  89, 103, 118, 130, 139
13,  72,  75,  80,  88, 101, 116, 133, 145, 154
14,  82,  84,  90,  99, 112, 128, 146, 160, 169
15,  91,  94, 100, 110, 124, 141, 160, 173, 183
16, 101, 104, 110, 120, 134, 152, 172, 185, 196
17, 108, 112, 117, 128, 142, 160, 181, 195, 208
18, 114, 117, 123, 134, 148, 166, 187, 203, 214
19, 117, 121, 126, 138, 152, 171, 192, 207, 218
20, 119, 122, 129, 140, 156, 174, 196, 211, 222
