Ages of Stowaways on the Queen Mary, 
Westbound, Eastbound
41, 24
24, 24
32, 34
26, 15
39, 19
45, 22
24, 18
21, 20
22, 20
21, 17
40, 17
18, 20
33, 18
33, 23
19, 37
31, 15
16, 25
16, 28
23, 21
19, 15
16, 48
20, 18
18, 12
22, 15
26, 23
22, 25
38, 22
42, 21
25, 30
21, 19
29, 20
24, 20
18, 35
17, 19
24, 38
18, 26
19, 19
30, 20
18, 19
24, 41
31, 31
30, 20
48, 19
29, 18
34, 42
25, 25
23, 19
41, 47
16, 19
17, 22
15, 20
19, 23
18, 24
66, 37
27, 23
43, 30
, 32
, 28
, 32
, 48
, 27
, 31
, 22
, 34
, 26
, 20
, 22
, 15
, 19
, 20
, 18
, 26
, 36
, 31
, 35
