1101.asc      Bin
1102.asc      Stored Part - Header
151.asc       Header
152.asc       View
154.asc       Layout
158.asc       L3 XY Plot Options
15.asc        Nodes
160.asc       Light Source
161.asc       Digitizing Tablet Layouts
162.asc       L4 XY Plotting Option Set
164.asc       Units
166.asc       Annotation Overlay
167.asc       L5 XY Plotting Option Set
169.asc       L6 XY Plotting Option Set
1700.asc      Material Database Header
1701.asc      Material Database Dimension
1702.asc      Material Database Unit System
1703.asc      Material Database Property
1704.asc      Material Database Material Type
1705.asc      Material Database Variable
1706.asc      Material Database Material Class
1707.asc      Material Database Material Attribute
1708.asc      Material Database Material Component
1709.asc      Material Database Material Specification
1710.asc      Material Database Material
1712.asc      Material reference list
172.asc       MS1 Display Options
173.asc       MS1 XY Graphing Option Set
174.asc       MS1 XY Window/Notes Graphing Option Set
1750.asc      Material Database Property Table
1801.asc      Record Trace
1802.asc      Coordinate Trace
1803.asc      Mode Order Trace
1804.asc      Node Map
1806.asc      Transducer
1807.asc      Virtual Channel Table
1808.asc      Channel Table
1810.asc      Measurement Overall Setup
1815.asc      Order Track Overall Setup
1858.asc      Dataset 58 qualifiers
18.asc        Coordinate Systems
200.asc       Active Direction Set
201.asc       Response Evaluation Options
202.asc       System Solution Options
203.asc       Excitation Definition Funct. Creation Options
204.asc       Project Documentation Options
205.asc       Output Sets Header
206.asc       System Entity Directory
207.asc       Orthogonality Matrix Options
208.asc       Orthogonality GMC Options
209.asc       Unbalance Excitation
210.asc       Rotating Force Excitation
211.asc       Response DOF Sets
212.asc       Constraint DOF Sets
213.asc       System Connections
214.asc       Component Physical Degrees of Freedom
217.asc       Function Header
220.asc       Load Cases
221.asc       Analytical Mode Order Sets
222.asc       System Orthogonality Ratios
223.asc       Auxiliary Data for Test Modal Component
224.asc       Auxiliary Data for Rigid Body Component
225.asc       Component Filenames
226.asc       Rigid Body Properties
227.asc       Translational Scalar Connector Data
228.asc       Rotational Scalar Connector Data
229.asc       General Scalar Connector Data
230.asc       Bearing Connector Data
233.asc       Elemental Matrices
236.asc       System Definition Parameters
239.asc       System Restart Parameters
2400.asc      Model Header
2411.asc      Nodes - Double Precision
2412.asc      Elements
2413.asc      Result type definition
2414.asc      Analysis Data
2415.asc      Laminate Definitions
2416.asc      Trace Lines
2417.asc      Permanent Groups
2418.asc      Sorted results associativity
2420.asc      Coordinate Systems
2421.asc      Geometry Based Boundary Conditions
2422.asc      Geometry Element Order
2423.asc      Geometry - Node Association + Frozen Mesh Data
2424.asc      Geometry - Element Association
2425.asc      Data Surface
2426.asc      Data Edge
2427.asc      Contact Sets
2428.asc      Boundary Condition Sets
2429.asc      Permanent Groups
242.asc       User - Defined DOF List
244.asc       Static Condensation Master DOF
247.asc       DOF Vector for Substructure Component
248.asc       Entity DOF Vector
249.asc       DOF Vector for General Matrix Component
